Organization : org4
Data frequency : 15 minutes
<year><month><day><hour><minute>, <energy declaration in MWh <energy production in MWh>
202201010000, 184, 175
202201010015, 173, 160
202201010030, 190, 159
202201010045, 195, 169
202201010100, 173, 166
202201010115, 193, 164
202201010130, 181, 174
202201010145, 174, 153
202201010200, 198, 152
202201010215, 189, 171
202201010230, 187, 178
202201010245, 178, 158
202201010300, 195, 158
202201010315, 186, 157
202201010330, 186, 176
202201010345, 189, 176
202201010400, 183, 163
202201010415, 199, 161
202201010430, 175, 150
202201010445, 178, 155
202201010500, 172, 166
202201010515, 200, 152
202201010530, 177, 179
202201010545, 185, 159
202201010600, 197, 157
202201010615, 178, 170
202201010630, 191, 171
202201010645, 197, 177
202201010700, 194, 169
202201010715, 173, 155
202201010730, 186, 169
202201010745, 190, 175
202201010800, 184, 175
202201010815, 200, 153
202201010830, 193, 160
202201010845, 179, 152
202201010900, 195, 158
202201010915, 175, 151
202201010930, 198, 170
202201010945, 195, 167
202201011000, 173, 171
202201011015, 196, 178
202201011030, 195, 161
202201011045, 192, 175
202201011100, 191, 167
202201011115, 199, 156
202201011130, 188, 176
202201011145, 172, 178
202201011200, 192, 171
202201011215, 177, 169
202201011230, 172, 171
202201011245, 184, 152
202201011300, 173, 171
202201011315, 184, 157
202201011330, 171, 153
202201011345, 177, 179
202201011400, 186, 150
202201011415, 173, 157
202201011430, 180, 158
202201011445, 174, 151
202201011500, 185, 160
202201011515, 192, 156
202201011530, 186, 162
202201011545, 196, 168
202201011600, 182, 153
202201011615, 178, 165
202201011630, 181, 169
202201011645, 176, 171
202201011700, 187, 169
202201011715, 191, 165
202201011730, 183, 157
202201011745, 171, 157
202201011800, 174, 152
202201011815, 191, 163
202201011830, 176, 151
202201011845, 193, 176
202201011900, 179, 171
202201011915, 177, 151
202201011930, 182, 150
202201011945, 196, 158
202201012000, 194, 150
202201012015, 196, 153
202201012030, 192, 150
202201012045, 197, 162
202201012100, 200, 171
202201012115, 198, 160
202201012130, 172, 151
202201012145, 187, 169
202201012200, 173, 161
202201012215, 190, 151
202201012230, 180, 178
202201012245, 199, 160
202201012300, 188, 157
202201012315, 192, 159
202201012330, 186, 164
202201012345, 174, 174
202201020000, 189, 152
202201020015, 186, 156
202201020030, 176, 177
202201020045, 173, 163
202201020100, 175, 168
202201020115, 181, 157
202201020130, 179, 157
202201020145, 183, 151
202201020200, 191, 178
202201020215, 187, 158
202201020230, 195, 158
202201020245, 184, 150
202201020300, 193, 151
202201020315, 181, 150
202201020330, 197, 151
202201020345, 181, 175
202201020400, 187, 152
202201020415, 171, 167
202201020430, 186, 173
202201020445, 182, 177
202201020500, 183, 174
