Organization : org2
Data frequency : 15 minutes
<year><month><day><hour><minute>, <energy declaration in MWh <energy production in MWh>
202201010000, 125, 119
202201010015, 119, 117
202201010030, 105, 100
202201010045, 132, 107
202201010100, 116, 107
202201010115, 113, 111
202201010130, 133, 96
202201010145, 128, 119
202201010200, 105, 118
202201010215, 121, 96
202201010230, 124, 111
202201010245, 106, 99
202201010300, 107, 108
202201010315, 134, 115
202201010330, 123, 107
202201010345, 119, 118
202201010400, 111, 115
202201010415, 107, 96
202201010430, 123, 122
202201010445, 121, 122
202201010500, 106, 117
202201010515, 112, 109
202201010530, 124, 121
202201010545, 133, 110
202201010600, 134, 101
202201010615, 124, 115
202201010630, 108, 106
202201010645, 132, 124
202201010700, 112, 118
202201010715, 127, 98
202201010730, 118, 102
202201010745, 129, 97
202201010800, 132, 112
202201010815, 125, 103
202201010830, 123, 114
202201010845, 115, 100
202201010900, 131, 119
202201010915, 119, 120
202201010930, 128, 116
202201010945, 133, 110
202201011000, 115, 113
202201011015, 112, 113
202201011030, 115, 95
202201011045, 123, 122
202201011100, 134, 122
202201011115, 110, 115
202201011130, 109, 104
202201011145, 130, 103
202201011200, 116, 110
202201011215, 124, 107
202201011230, 110, 100
202201011245, 122, 116
202201011300, 119, 106
202201011315, 107, 111
202201011330, 129, 122
202201011345, 107, 101
202201011400, 125, 116
202201011415, 132, 117
202201011430, 112, 123
202201011445, 123, 100
202201011500, 127, 107
202201011515, 127, 101
202201011530, 109, 112
202201011545, 107, 122
202201011600, 119, 108
202201011615, 128, 116
202201011630, 105, 96
202201011645, 116, 99
202201011700, 126, 119
202201011715, 134, 97
202201011730, 113, 118
202201011745, 114, 116
202201011800, 132, 121
202201011815, 113, 100
202201011830, 105, 124
202201011845, 107, 110
202201011900, 115, 123
202201011915, 131, 118
202201011930, 133, 102
202201011945, 134, 121
202201012000, 115, 121
202201012015, 108, 99
202201012030, 111, 99
202201012045, 106, 109
202201012100, 126, 118
202201012115, 128, 105
202201012130, 106, 109
202201012145, 127, 104
202201012200, 128, 115
202201012215, 127, 100
202201012230, 127, 98
202201012245, 107, 122
202201012300, 128, 96
202201012315, 127, 122
202201012330, 118, 116
202201012345, 127, 95
202201020000, 127, 98
202201020015, 127, 101
202201020030, 119, 96
202201020045, 112, 109
202201020100, 131, 114
202201020115, 126, 111
202201020130, 121, 115
202201020145, 126, 101
202201020200, 113, 118
202201020215, 117, 122
202201020230, 112, 116
202201020245, 134, 124
202201020300, 129, 99
202201020315, 132, 105
202201020330, 130, 105
202201020345, 121, 96
202201020400, 111, 112
202201020415, 132, 115
202201020430, 108, 106
202201020445, 117, 100
202201020500, 108, 103
202201020515, 124, 113
202201020530, 132, 120
202201020545, 125, 122
202201020600, 119, 117
202201020615, 129, 103
202201020630, 121, 95
202201020645, 118, 113
202201020700, 127, 116
202201020715, 110, 113
202201020730, 111, 115
202201020745, 111, 124
202201020800, 105, 103
202201020815, 118, 117
202201020830, 106, 109
202201020845, 106, 119
202201020900, 134, 103
202201020915, 105, 109
202201020930, 123, 103
202201020945, 132, 101
202201021000, 119, 95
202201021015, 110, 118
202201021030, 112, 98
202201021045, 129, 101
202201021100, 129, 121
202201021115, 106, 99
202201021130, 125, 104
202201021145, 131, 106
202201021200, 129, 110
202201021215, 130, 99
202201021230, 129, 99
202201021245, 124, 101
202201021300, 120, 114
202201021315, 118, 116
202201021330, 133, 108
202201021345, 116, 111
202201021400, 111, 118
202201021415, 126, 119
202201021430, 105, 113
202201021445, 128, 108
202201021500, 121, 120
202201021515, 108, 100
202201021530, 134, 103
202201021545, 116, 122
202201021600, 130, 112
202201021615, 110, 114
202201021630, 122, 108
202201021645, 108, 118
202201021700, 127, 99
202201021715, 114, 109
202201021730, 122, 106
202201021745, 120, 122
202201021800, 106, 109
202201021815, 125, 100
202201021830, 127, 97
202201021845, 122, 98
202201021900, 119, 102
202201021915, 112, 120
202201021930, 109, 110
202201021945, 110, 105
202201022000, 131, 106
202201022015, 123, 113
202201022030, 106, 101
202201022045, 127, 104
202201022100, 134, 102
202201022115, 119, 111
202201022130, 133, 98
202201022145, 110, 98
202201022200, 118, 96
202201022215, 124, 122
202201022230, 118, 115
202201022245, 119, 113
202201022300, 105, 119
202201022315, 113, 104
202201022330, 118, 115
202201022345, 107, 105
202201030000, 116, 119
202201030015, 105, 116
202201030030, 113, 124
202201030045, 118, 121
202201030100, 128, 101
202201030115, 127, 120
202201030130, 128, 110
202201030145, 122, 114
202201030200, 107, 95
202201030215, 108, 106
202201030230, 120, 116
202201030245, 119, 115
202201030300, 109, 104
202201030315, 123, 99
202201030330, 121, 95
202201030345, 131, 111
202201030400, 106, 122
202201030415, 107, 107
202201030430, 126, 101
202201030445, 124, 121
202201030500, 113, 115
202201030515, 119, 95
202201030530, 114, 124
202201030545, 112, 105
202201030600, 125, 117
202201030615, 122, 100
202201030630, 125, 114
202201030645, 114, 119
202201030700, 110, 112
202201030715, 132, 104
202201030730, 111, 120
202201030745, 117, 115
202201030800, 133, 106
202201030815, 116, 98
202201030830, 119, 112
202201030845, 108, 107
202201030900, 129, 100
202201030915, 117, 114
202201030930, 109, 118
202201030945, 126, 108
202201031000, 113, 122
202201031015, 110, 113
202201031030, 119, 100
202201031045, 128, 117
202201031100, 131, 108
202201031115, 126, 108
202201031130, 105, 104
202201031145, 124, 123
202201031200, 107, 97
202201031215, 126, 101
202201031230, 114, 103
202201031245, 120, 109
202201031300, 115, 100
202201031315, 111, 107
202201031330, 129, 100
202201031345, 133, 122
202201031400, 123, 99
202201031415, 122, 98
202201031430, 105, 110
202201031445, 128, 100
202201031500, 121, 111
202201031515, 125, 107
202201031530, 120, 110
202201031545, 127, 104
202201031600, 113, 106
202201031615, 121, 107
202201031630, 114, 105
202201031645, 120, 100
202201031700, 116, 116
202201031715, 112, 113
202201031730, 120, 100
202201031745, 107, 117
202201031800, 128, 99
202201031815, 105, 98
202201031830, 114, 113
202201031845, 124, 123
202201031900, 105, 121
202201031915, 121, 99
202201031930, 118, 124
202201031945, 130, 111
202201032000, 113, 100
202201032015, 133, 98
202201032030, 126, 113
202201032045, 116, 112
202201032100, 127, 115
202201032115, 115, 123
202201032130, 114, 111
202201032145, 123, 111
202201032200, 120, 97
202201032215, 107, 118
202201032230, 107, 100
202201032245, 127, 98
202201032300, 117, 100
202201032315, 121, 98
202201032330, 128, 102
202201032345, 114, 122
202201040000, 113, 106
202201040015, 117, 102
202201040030, 119, 112
202201040045, 113, 116
202201040100, 106, 122
202201040115, 107, 121
202201040130, 110, 107
202201040145, 132, 109
202201040200, 127, 116
202201040215, 133, 106
202201040230, 119, 100
202201040245, 115, 102
202201040300, 108, 99
202201040315, 131, 97
202201040330, 132, 107
202201040345, 134, 97
202201040400, 111, 118
202201040415, 125, 103
202201040430, 132, 113
202201040445, 118, 121
202201040500, 110, 97
202201040515, 134, 113
202201040530, 126, 117
202201040545, 119, 107
202201040600, 115, 124
202201040615, 118, 103
202201040630, 114, 105
202201040645, 132, 113
202201040700, 133, 103
202201040715, 107, 98
202201040730, 112, 104
202201040745, 119, 113
202201040800, 119, 118
202201040815, 110, 105
202201040830, 126, 117
202201040845, 111, 115
202201040900, 115, 100
202201040915, 110, 120
202201040930, 130, 123
202201040945, 134, 122
202201041000, 124, 106
202201041015, 133, 95
202201041030, 109, 108
202201041045, 108, 104
202201041100, 118, 114
202201041115, 114, 109
202201041130, 105, 95
202201041145, 113, 105
202201041200, 120, 104
202201041215, 121, 110
202201041230, 111, 116
202201041245, 105, 103
202201041300, 116, 117
202201041315, 129, 122
202201041330, 107, 117
202201041345, 115, 100
202201041400, 120, 111
202201041415, 123, 124
202201041430, 132, 123
202201041445, 113, 105
202201041500, 126, 112
202201041515, 115, 103
202201041530, 122, 120
202201041545, 111, 122
202201041600, 131, 103
202201041615, 133, 111
202201041630, 114, 106
202201041645, 116, 116
202201041700, 119, 116
202201041715, 132, 108
202201041730, 112, 96
202201041745, 108, 124
202201041800, 126, 103
202201041815, 117, 98
