Organization : org3
Data frequency : 15 minutes
<year><month><day><hour><minute>, <energy declaration in MWh <energy production in MWh>
202201010000, 188, 133
202201010015, 185, 131
202201010030, 194, 143
202201010045, 184, 126
202201010100, 186, 141
202201010115, 179, 137
202201010130, 174, 125
202201010145, 192, 127
202201010200, 188, 142
202201010215, 184, 135
202201010230, 175, 138
202201010245, 167, 138
202201010300, 186, 146
202201010315, 166, 137
202201010330, 184, 139
202201010345, 185, 150
202201010400, 193, 134
202201010415, 193, 145
202201010430, 191, 130
202201010445, 170, 126
202201010500, 177, 154
202201010515, 194, 151
202201010530, 169, 134
202201010545, 166, 130
202201010600, 178, 144
202201010615, 193, 139
202201010630, 168, 131
202201010645, 172, 147
202201010700, 168, 125
202201010715, 169, 137
202201010730, 172, 152
202201010745, 186, 136
202201010800, 181, 145
202201010815, 192, 148
202201010830, 184, 134
202201010845, 174, 151
202201010900, 191, 136
202201010915, 173, 139
202201010930, 179, 131
202201010945, 166, 130
202201011000, 184, 129
202201011015, 184, 129
202201011030, 169, 150
202201011045, 175, 126
202201011100, 177, 154
202201011115, 193, 151
202201011130, 187, 147
202201011145, 178, 135
202201011200, 166, 150
202201011215, 178, 134
202201011230, 165, 128
202201011245, 172, 128
202201011300, 175, 129
202201011315, 189, 149
202201011330, 185, 141
202201011345, 178, 142
202201011400, 167, 152
202201011415, 166, 127
202201011430, 177, 146
202201011445, 171, 154
202201011500, 168, 148
202201011515, 177, 140
202201011530, 166, 153
202201011545, 189, 137
202201011600, 187, 144
202201011615, 174, 134
202201011630, 175, 141
202201011645, 190, 145
202201011700, 185, 127
202201011715, 168, 127
202201011730, 179, 133
202201011745, 180, 141
202201011800, 182, 154
202201011815, 187, 145
202201011830, 187, 126
202201011845, 192, 128
202201011900, 193, 139
202201011915, 181, 128
202201011930, 191, 125
202201011945, 174, 144
202201012000, 183, 142
202201012015, 190, 126
202201012030, 187, 126
202201012045, 180, 144
202201012100, 194, 134
202201012115, 186, 151
202201012130, 188, 128
202201012145, 190, 134
202201012200, 177, 145
202201012215, 174, 126
202201012230, 191, 138
202201012245, 168, 134
202201012300, 170, 148
202201012315, 183, 140
202201012330, 167, 136
202201012345, 165, 132
202201020000, 170, 133
202201020015, 167, 147
202201020030, 168, 154
202201020045, 179, 141
202201020100, 185, 129
202201020115, 187, 140
202201020130, 189, 143
202201020145, 176, 135
202201020200, 175, 135
202201020215, 182, 133
202201020230, 187, 135
202201020245, 168, 147
202201020300, 167, 150
202201020315, 167, 135
202201020330, 174, 137
202201020345, 183, 134
202201020400, 170, 134
202201020415, 179, 128
202201020430, 178, 133
202201020445, 194, 140
202201020500, 191, 150
202201020515, 194, 136
202201020530, 169, 146
202201020545, 190, 135
