Organization: org1
Data frequency : 15 minutes
<year><month><day><hour><minute>, <energy production power in MW>
202101010000, 1009
202101010015, 1117
202101010030, 1171
202101010045, 1097
202101010100, 1199
202101010115, 1150
202101010130, 1115
202101010145, 1050
202101010200, 1165
202101010215, 1082
202101010230, 1239
202101010245, 1199
202101010300, 1016
202101010315, 1243
202101010330, 1088
202101010345, 1261
202101010400, 1175
202101010415, 1045
202101010430, 1146
202101010445, 1056
202101010500, 1138
202101010515, 1120
202101010530, 1099
202101010545, 1180
202101010600, 1274
202101010615, 1296
202101010630, 1169
202101010645, 1199
202101010700, 1206
202101010715, 1050
202101010730, 1011
202101010745, 1263
202101010800, 1087
202101010815, 1217
202101010830, 1161
202101010845, 1070
202101010900, 1126
202101010915, 1272
202101010930, 1153
202101010945, 1237
202101011000, 1202
202101011015, 1020
202101011030, 1050
202101011045, 1121
202101011100, 1114
202101011115, 1032
202101011130, 1174
202101011145, 1125
202101011200, 1031
202101011215, 1053
202101011230, 1034
202101011245, 1009
202101011300, 1211
202101011315, 1223
202101011330, 1272
202101011345, 1005
202101011400, 1039
202101011415, 1052
202101011430, 1280
202101011445, 1097
202101011500, 1243
202101011515, 1229
202101011530, 1066
202101011545, 1276
202101011600, 1042
202101011615, 1188
202101011630, 1041
202101011645, 1212
202101011700, 1163
202101011715, 1299
202101011730, 1124
202101011745, 1299
202101011800, 1174
202101011815, 1082
202101011830, 1021
202101011845, 1056
202101011900, 1248
202101011915, 1278
202101011930, 1239
202101011945, 1071
202101012000, 1045
202101012015, 1054
202101012030, 1134
202101012045, 1101
202101012100, 1119
202101012115, 1155
202101012130, 1196
202101012145, 1040
202101012200, 1137
202101012215, 1055
202101012230, 1072
202101012245, 1188
202101012300, 1196
202101012315, 1114
202101012330, 1033
202101012345, 1032
