Organization : org1
Data frequency : 15 minutes
<year><month><day><hour><minute>, <energy production power in MW>
202101010000, 120
202101010015, 102
202101010030, 126
202101010045, 121
202101010100, 104
202101010115, 103
202101010130, 105
202101010145, 125
202101010200, 100
202101010215, 117
202101010230, 128
202101010245, 118
202101010300, 107
202101010315, 120
202101010330, 109
202101010345, 107
202101010400, 129
202101010415, 104
202101010430, 120
202101010445, 127
202101010500, 109
202101010515, 124
202101010530, 115
202101010545, 124
202101010600, 110
202101010615, 108
202101010630, 113
202101010645, 119
202101010700, 105
202101010715, 101
202101010730, 100
202101010745, 105
202101010800, 120
202101010815, 102
202101010830, 102
202101010845, 102
202101010900, 107
202101010915, 128
202101010930, 113
202101010945, 125
202101011000, 121
202101011015, 123
202101011030, 112
202101011045, 120
202101011100, 129
202101011115, 129
202101011130, 110
202101011145, 106
202101011200, 106
202101011215, 105
202101011230, 104
202101011245, 111
202101011300, 122
202101011315, 116
202101011330, 113
202101011345, 107
202101011400, 118
202101011415, 108
202101011430, 124
202101011445, 115
202101011500, 113
202101011515, 108
202101011530, 106
202101011545, 118
202101011600, 102
202101011615, 119
202101011630, 125
202101011645, 116
202101011700, 120
202101011715, 104
202101011730, 103
202101011745, 121
202101011800, 108
202101011815, 104
202101011830, 100
202101011845, 103
202101011900, 109
202101011915, 113
202101011930, 120
202101011945, 118
202101012000, 109
202101012015, 107
202101012030, 124
202101012045, 111
202101012100, 105
202101012115, 113
202101012130, 125
202101012145, 107
202101012200, 118
202101012215, 127
202101012230, 124
202101012245, 124
202101012300, 106
202101012315, 109
202101012330, 112
202101012345, 125
202101020000, 117
202101020015, 121
202101020030, 119
202101020045, 122
202101020100, 101
202101020115, 111
202101020130, 102
202101020145, 118
202101020200, 104
202101020215, 114
202101020230, 127
202101020245, 110
202101020300, 101
202101020315, 124
202101020330, 109
202101020345, 100
202101020400, 121
202101020415, 107
202101020430, 110
202101020445, 106
202101020500, 127
202101020515, 104
202101020530, 107
202101020545, 126
202101020600, 100
202101020615, 110
202101020630, 104
202101020645, 100
202101020700, 113
202101020715, 121
202101020730, 128
202101020745, 103
202101020800, 106
202101020815, 122
202101020830, 126
202101020845, 100
202101020900, 119
202101020915, 123
202101020930, 117
202101020945, 102
202101021000, 123
202101021015, 109
202101021030, 118
202101021045, 120
202101021100, 112
202101021115, 106
202101021130, 129
202101021145, 112
202101021200, 121
202101021215, 101
202101021230, 125
202101021245, 123
202101021300, 121
202101021315, 124
202101021330, 118
202101021345, 107
202101021400, 128
202101021415, 119
202101021430, 110
202101021445, 123
202101021500, 107
202101021515, 111
202101021530, 120
202101021545, 117
202101021600, 109
202101021615, 119
202101021630, 100
202101021645, 106
202101021700, 104
202101021715, 124
202101021730, 121
202101021745, 106
202101021800, 124
202101021815, 111
202101021830, 112
202101021845, 127
202101021900, 108
202101021915, 104
202101021930, 103
202101021945, 104
202101022000, 125
202101022015, 108
202101022030, 127
202101022045, 108
202101022100, 118
202101022115, 103
202101022130, 107
202101022145, 115
202101022200, 125
202101022215, 114
202101022230, 127
202101022245, 100
202101022300, 123
202101022315, 107
202101022330, 100
202101022345, 116
202101030000, 120
202101030015, 120
202101030030, 107
202101030045, 100
202101030100, 101
202101030115, 123
202101030130, 126
202101030145, 116
202101030200, 121
202101030215, 126
202101030230, 118
202101030245, 119
202101030300, 117
202101030315, 123
202101030330, 119
202101030345, 110
202101030400, 114
202101030415, 106
202101030430, 118
202101030445, 112
202101030500, 121
202101030515, 118
202101030530, 104
202101030545, 127
202101030600, 105
202101030615, 104
202101030630, 104
202101030645, 124
202101030700, 111
202101030715, 118
202101030730, 116
202101030745, 100
202101030800, 106
202101030815, 121
202101030830, 102
202101030845, 108
202101030900, 110
202101030915, 117
202101030930, 113
202101030945, 102
202101031000, 127
202101031015, 124
202101031030, 113
202101031045, 102
202101031100, 118
202101031115, 123
202101031130, 105
202101031145, 111
202101031200, 113
202101031215, 121
202101031230, 123
202101031245, 103
202101031300, 121
202101031315, 127
202101031330, 100
202101031345, 127
202101031400, 105
202101031415, 115
202101031430, 117
202101031445, 119
202101031500, 106
